gene,mRNA_level
yaiC,177.187
proC,1358.72
yaiI,452.709
aroL,1617.77
yaiA,1204.71
aroM,387.11
yaiE,1909.18
ykiA,247.902
yaiD,1343.97
yajF,997.753
araJ,126.356
sbcC,774.302
sbcD,500.403
phoB,364.856
phoR,140.044
brnQ,459.379
proY,368.25
malZ,487.836
yajB,975.489
queA,739.214
tgt,2192.23
yajC,3184.51
secD,1456.32
secF,984.863
yajD,933.228
tsx,2553.62
yajI,111.023
ybaD,1783.63
ribD,1304.05
ribE,2657.96
nusB,2979.13
thiL,1629.55
pgpA,1014.14
yajO,2058.64
dxs,1040.92
ispA,1806.52
xseB,2594.33
thiI,1113.47
thiJ,1333.68
apbA,1252.72
yajQ,2507.27
yajR,325.115
cyoE,2139.97
cyoD,4447.52
cyoC,4282.65
cyoB,5031.92
cyoA,5931.77
ampG,420.505
yajG,2267.42
bolA,1936.58
tig,3277.28
clpP,2017.85
clpX,1935.03
lon,1854.17
hupB,3023.51
ppiD,1163.15
ybaV,1080.42
ybaW,290.465
ybaX,1287.92
ybaE,383.279
cof,729.685
ybaO,539.718
mdlA,146.392
mdlB,180.298
glnK,448.193
amtB,1378.83
tesB,321.444
ybaY,903.166
ybaZ,591.483
ybaA,413.173
ylaB,344.634
ylaC,1638.9
maa,486.225
hha,2185.12
ybaJ,2296.75
acrB,1984.28
acrA,2501.32
acrR,130.86
kefA,757.509
ybaM,642.823
priC,1813.91
ybaN,1432.64
apt,2014.07
dnaX,1215.52
ybaB,2446.82
recR,1345.9
htpG,560.92
adk,3439.54
hemH,436.421
aes,85.0754
gsk,588.731
ybaL,1081.15
fsr,220.651
ushA,1178.5
ybaK,651.933
ybaP,871.91
ybaQ,1136.11
copA,419.95
ybaS,1395.82
ybaT,718.349
cueR,822.484
ybbJ,442.426
ybbK,677.275
ybbL,471.593
ybbM,354.574
ybbN,1564.28
ybbO,1072.97
tesA,1197.09
ybbA,594.398
ybbP,981.312
rhsD,315.443
ybbC,176.607
ybbD,48.0335
ybbB,218.188
ybbS,140.218
allA,839.944
allR,1208.14
gcl,156.273
hyi,52.134
glxR,441.093
ybbV,140.832
allP,113.821
allB,130.144
ybbY,52.3145
glxK,308.394
ylbA,305.71
allC,428.213
allD,398.754
fdrA,312.423
ylbE,469.129
ylbF,169.408
arcC,1278.01
purK,1677.25
purE,2666.74
ybbF,759.998
ppiB,4197.37
cysS,1307.65
ybcI,717
ybcJ,417.756
folD,2457.79
sfmA,40.3224
sfmC,290.419
sfmD,302.701
sfmH,42.5727
sfmF,1246.34
fimZ,38.313
intD,346.378
tra5_2,N.D.
emrE,277.96
ybcK,66.4246
ybcL,70.6913
ybcM,359.956
ybcN,103.223
ninE,193.635
ybcO,307.01
rus,178.906
ybcQ,165.025
trs5_2,N.D.
nmpC,4648.63
ybcR,81.4284
ybcS,730.08
ybcT,104.264
ybcU,1615.92
ybcV,52.3944
ybcW,266.823
nohB,N.D.
ybcX,349.982
ybcY,20.2575
ylcE,72.3861
appY,63.0545
ompT,7933.94
envY,59.3246
ybcH,849.627
nfrA,765.506
nfrB,293.757
cusS,686.34
cusR,693.483
cusC,2213.42
ylcC,3119.28
cusB,936.282
cusA,340.543
pheP,195.555
ybdG,419.662
nfnB,2407.74
ybdF,516.734
ybdJ,284.543
ybdK,757.727
hokE,N.D.
yi81_2,N.D.
entD,81.8596
fepA,591.225
fes,663.719
entF,311.723
fepE,1009.34
fepC,949.635
fepG,250.575
fepD,393.464
ybdA,521.255
fepB,306.643
entC,588.171
entE,571.478
entB,742.557
entA,1441.07
ybdB,313.937
cstA,2128.94
ybdH,1021.06
ybdL,282.752
ybdM,259.091
ybdN,178.365
ybdO,48.1396
dsbG,668.737
ahpC,6256.41
ahpF,1680.96
ybdQ,1011.66
ybdR,935.204
rnk,594.323
rna,827.124
