gene,mRNA_level
rnfD,540.165
rnfG,520.827
rnfE,999.966
nth,339.434
ydgR,440.515
gst,1644.88
pdxY,798.585
tyrS,2103.06
pdxH,1192.99
ydhA,142.64
ydhH,565.268
slyB,4608.54
slyA,1625.01
ydhI,140.02
ydhJ,105.132
ydhK,80.0255
sodC,1615.15
ydhF,1045.98
ydhL,163.452
ydhM,409.117
nemA,462.254
gloA,2020.53
rnt,690.703
lhr,155.646
ydhD,3136.7
ydhO,488.215
sodB,4475.57
ydhP,503.211
purR,1398.42
ydhB,450.164
ydhC,505.47
cfa,1667.9
ribC,940.901
norM,496.817
ydhQ,1090.41
ydhR,2555.68
ydhS,362.528
ydhT,398.297
ydhU,84.2604
ydhX,175.692
ydhW,167.616
ydhV,431.353
ydhY,76.6267
ydhZ,581.652
pykF,2689.02
lpp,7235.09
ynhG,1224.32
sufE,585.092
sufS,679.012
sufD,779.126
sufC,695.382
sufB,1034.9
sufA,1078.98
ydiH,2173.6
ydiI,936.394
ydiJ,1966.61
ydiK,485.526
ydiL,63.8438
ydiM,56.3459
ydiN,58.4636
ydiB,139.864
aroD,820.212
ydiF,243.227
ydiO,162.291
ydiP,56.795
ydiQ,168.578
ydiR,375.215
ydiS,392.095
ydiT,744.723
ydiD,516.295
ppsA,1857.84
ydiA,1352.2
aroH,876.731
ydiE,232.074
ydiU,934.682
ydiV,186.786
nlpC,636.626
btuD,543.236
btuE,888.991
btuC,981.861
himA,2902.91
pheT,3832.33
pheS,2322.87
pheM,127.508
rplT,2651.15
rpmI,5123.74
infC,6643.08
thrS,5093.48
arpB,N.D.
ydiY,415.212
pfkB,1401.19
ydiZ,1828.47
yniA,799.828
yniB,893.978
yniC,724.874
ydjM,185.462
ydjN,2068.07
ydjO,102.077
cedA,202.682
katE,1753.77
ydjC,337.858
celF,342.321
celD,257.583
celC,212.807
celB,109.87
celA,658.787
osmE,2271.45
nadE,2500.05
ydjQ,1016.54
ydjR,283.481
spy,1095.65
astE,153.442
astB,601.641
astD,532.694
astA,575.71
astC,628.44
xthA,1953.63
ydjX,63.1031
ydjY,229.932
ydjZ,170.703
ynjA,749.796
ynjB,622.594
ynjC,147.258
ynjD,164.026
ynjE,224.895
ynjF,360.148
nudG,446.405
ynjH,257.435
gdhA,2587.22
ynjI,213.579
topB,559.708
selD,1777.48
ydjA,1615.08
sppA,694.755
ansA,1134.6
pncA,852.813
ydjE,143.739
ydjF,227.39
ydjG,290.615
ydjH,196.453
ydjI,221.067
ydjJ,140.586
ydjK,129.949
ydjL,201.259
yeaC,3236.9
yeaA,4948.7
gapA,7581.1
yeaD,1272.17
yeaE,364.742
mipA,2851.32
yeaG,1789.54
yeaH,592.155
yeaI,71.534
yeaJ,312.198
yeaK,780.047
yeaL,595.454
yeaM,122.126
yeaN,197.58
yeaO,770.84
yoaF,377.149
yeaP,976.398
yeaQ,2607.12
yoaG,278.176
yeaR,547.164
yeaS,30.4582
yeaT,308.384
yeaU,102.146
yeaV,437.692
yeaW,270.747
yeaX,568.24
rnd,758.347
fadD,981.675
yeaY,508.068
yeaZ,1042.32
yoaA,395.578
yoaB,2458.51
yoaC,2102.41
yoaH,1831.22
pabB,1052.76
yeaB,655.081
sdaA,478.091
yoaD,437.362
yoaE,323.274
manX,4793.75
manY,4437.61
manZ,1219.62
yobD,466.151
yebN,367.481
rrmA,456.081
cspC,6113.26
yobF,6411.36
yebO,686.211
yobG,961.698
kdgR,894.944
yebQ,393.252
htpX,1267.66
prc,1086.91
proQ,2871.58
yebR,3449.58
yebS,359.291
yebT,402.174
yebU,293.88
yebV,1252.84
yebW,694.338
pphA,292.289
yebY,1203.69
yebZ,1642.36
yobA,1738.13
holE,1028.27
yobB,297.516
exoX,852.294
ptrB,646.097
yebE,347.552
yebF,1998.6
yebG,1254.38
purT,1620.5
eda,1579
edd,1963.35
zwf,1963.01
yebK,682.475
pykA,1263.01
msbB,1042.83
yebA,480.93
znuA,1203.77
znuC,713.455
znuB,399.441
ruvB,738.941
ruvA,992.554
yebB,542.816
ruvC,1164.12
yebC,2302.57
ntpA,1827.97
aspS,2277.46
yecD,888.636
yecE,285.882
yecN,1105.55
yecO,1327.77
yecP,439.528
torZ,201.956
torY,114.425
cutC,244.138
yecM,900.307
argS,919.931
yecT,53.2471
flhE,168.483
flhA,280.083
flhB,533.502
cheZ,137.171
cheY,521.117
cheB,462.824
cheR,216.758
tap,586.79
tar,483.851
cheW,362.065
cheA,178.574
motB,497.591
motA,386.347
flhC,708.667
flhD,555.383
insB_5,N.D.
insA_5,285.011
yecG,323.609
otsA,901.62
otsB,1474.87
araH,N.D.
araG,195.846
araF,504.992
yecI,378.951
yecR,44.546
ftn,1469.5
yecH,78.2258
tyrP,550.785
yecA,827.883
pgsA,799.582
uvrC,926.465
uvrY,1925.78
yecF,576.48
sdiA,422.299
yecC,945.614
yecS,739.098
yedO,1482.54
fliY,4478.82
fliZ,258.21
fliA,84.7959
fliC,725.846
fliD,105.962
fliS,291.376
fliT,266.166
amyA,1133.78
yedD,1912.47
yedE,2357.45
yedF,752.678
yedK,780.829
yedL,504.737
yedN,N.D.
yedM,14.1356
fliE,149.606
fliF,1137.19
fliG,575.565
fliH,690.631
fliI,193.353
fliJ,146.096
fliK,165.565
fliL,158.108
fliM,493.04
fliN,382.294
fliO,27.32
fliP,77.9813
fliQ,32.1878
fliR,852.543
rcsA,89.5406
dsrB,736.232
yodD,636.007
yedP,651.12
yedQ,163.123
yodC,887.82
yedI,1442.89
yedA,1155.61
vsr,1264.54
dcm,696.258
yedJ,817.867
yedR,1256.83
yedS,N.D.
yedU,1350.02
yedV,206.779
yedW,1053.27
yedX,232.99
yedY,180.738
yedZ,51.1825
yodA,275.636
yodB,132.587
yeeI,649.723
yeeJ,504.517
yeeL,N.D.
shiA,396.956
amn,858.795
yeeN,710.628
yeeO,189.924
cbl,854.124
nac,202.39
erfK,299.378
cobT,831.782
cobS,949.9
cobU,726.064
trs5_6,N.D.
yi22_3,N.D.
yi21_3,N.D.
yeeP,323.415
flu,985.22
yeeR,203.487
yeeS,648.066
yeeT,662.053
yeeU,248.379
yeeV,197.06
yeeW,475.417
yeeX,3888.64
yeeA,1002.61
sbmC,787.5
dacD,1040.59
sbcB,472.464
yeeD,1655.06
yeeE,1180.72
yeeF,1191.26
yeeY,370.804
yeeZ,873.063
yefM,1476.6
hisL,3497.82
hisG,2838.05
hisD,1633.49
hisC,2646.91
hisB,2004.83
hisH,1693.26
hisA,2650.93
hisF,2355.9
hisI,1344.44
wzzB,2059.48
ugd,362.295
gnd,4964.36
trs5_7,N.D.
wbbL,2504.14
wbbK,1692.64
wbbJ,1524.54
wbbI,1550.72
wbbH,695.093
glf,1287.87
rfbX,1262.36
rfbC,1568.63
rfbA,2647.86
rfbD,2469.27
rfbB,2406.78
galF,2788.28
wcaM,218.283
wcaL,560.996
wcaK,271.358
wzxC,869.946
wcaJ,249.862
cpsG,1349.62
cpsB,172.353
wcaI,321.861
wcaH,123.595
wcaG,506.518
gmd,361.546
wcaF,77.9074
wcaE,356.982
wcaD,413.041
wcaC,368.092
wcaB,503.776
wcaA,329.607
wzc,170.415
wzb,193.446
wza,72.7291
yegH,547.614
asmA,588.581
dcd,1061.47
udk,802.379
yegE,289.94
alkA,336.606
yegD,151.674
yegI,342.36
yegJ,72.6499
yegK,279.792
yegL,221.286
yegM,235.558
yegN,1499.19
yegO,228.615
yegB,238.642
baeS,537.741
baeR,592.072
yegP,2392.27
yegQ,1395.13
ogrK,353.386
yegR,83.589
yegS,318.788
tra5_4,N.D.
gatR,N.D.
gatD,1361.17
gatC,3207.23
gatB,5256.85
gatA,5598.66
gatZ,6588.49
gatY,6621.96
fbaB,3452.78
yegT,102.786
yegU,420.141
yegV,355.212
yegW,396.982
yegX,257.655
thiD,802.745
thiM,1754.81
yohL,454.34
yohM,97.2542
yohN,389.202
yehA,297.938
yehB,169.307
yehC,45.2794
yehD,26.4585
yehE,800.543
mrp,1737.9
metG,1066.3
molR,N.D.
yehI,71.9126
yehL,187.721
yehM,568.824
yehP,651.668
yehQ,103.713
yehR,96.4971
yehS,217.094
yehT,280.851
yehU,398.969
yehV,653.989
yehW,658.855
yehX,734.453
yehY,643.985
yehZ,425.065
bglX,430.331
dld,1074.47
pbpG,812.143
yohC,381.625
yohD,404.386
yohF,638.848
yohG,608.499
yohH,434.038
yohI,296.519
yohJ,176.002
yohK,205.204
cdd,492.098
sanA,483.687
yeiS,399.893
yeiT,781.495
yeiA,190.983
mglC,880.163
mglA,490.404
mglB,1014.14
galS,155.715
yeiB,315.225
folE,3214.93
yeiG,1350.09
cirA,879.26
lysP,1559.08
yeiE,732.98
yeiH,596.75
nfo,679.027
yeiI,339.096
yeiJ,218.62
rihB,170.922
yeiL,82.2521
yeiM,224.323
yeiN,320.873
yeiC,185.443
fruA,257.039
fruK,537.766
fruB,575.381
setB,351.92
yeiP,1134.06
yeiQ,194.725
yeiR,548.473
yeiU,160.979
spr,2217
rtn,403.386
yejA,340.142
yejB,173.562
yejE,366.956
yejF,296.495
yejG,1438.09
bcr,201.966
rsuA,1162.62
yejH,255.568
rplY,6897.98
yejK,887.446
yejL,1949.16
yejM,785.353
yejO,823.267
trs5_8,6497.07
narP,639.981
ccmH,332.73
ccmG,565.454
ccmF,658.483
ccmE,173.934
ccmD,228.606
ccmC,591.725
ccmB,584.349
ccmA,331.945
napC,559.052
napB,687.264
napH,523.376
napG,812.532
napA,665.567
napD,573.846
napF,187.044
eco,1298.97
mqo,476.007
yojI,950.798
alkB,491.865
ada,1243.61
yojL,192.608
ompC,5879.81
yojN,2489.61
rcsB,2387.6
rcsC,590.883
atoS,284.819
atoC,559.222
atoD,128.943
atoA,720.046
atoE,214.694
atoB,167.371
yfaP,365.784
yfaQ,1345.15
yfaT,210.321
yfaA,388.095
gyrA,1155.3
ubiG,1304.91
yfaL,829.917
nrdA,1271.03
nrdB,1408.49
yfaE,389.051
inaA,639.823
yfaH,85.7701
glpQ,295.939
glpT,427.759
glpA,303.025
glpB,353.799
glpC,211.412
yfaD,1116.4
yfaV,83.3387
yfaW,580.835
yfaX,142.23
yfaZ,398.649
yfaO,230.639
ais,15.7875
yfbE,271.309
yfbF,387.212
yfbG,754.64
arnT,402.615
yfbJ,69.1739
pmrD,847.323
menE,447.589
menC,1149.73
menB,1476.22
yfbB,1197.15
menD,642.599
menF,613.601
elaB,4145.54
elaA,1041.36
elaC,753.037
elaD,23.6153
yfbK,137.587
yfbL,89.2635
yfbM,47.9465
yfbN,41.52
nuoN,1386.52
nuoM,1547.07
nuoL,2075.3
nuoK,1575.19
nuoJ,N.D.
nuoI,2492.86
nuoH,2175.9
nuoG,2384.92
nuoF,2539.2
nuoE,4062.75
nuoC,3144.73
nuoB,3400.92
nuoA,3099.02
lrhA,840.518
yfbQ,469.711
yfbS,435.468
yfbT,1102.41
yfbU,2805.66
ackA,2143.5
pta,660.725
yfcC,539.416
yfcE,1505.89
yfcF,523.655
yfcG,442.064
folX,2518.55
yfcH,1439
yfcI,494.322
hisP,1403.5
hisM,819.242
hisQ,1489.11
hisJ,3773.08
argT,1358.24
ubiX,194.367
purF,1308.06
cvpA,2855.7
dedD,1141.02
folC,1093.49
accD,1919.49
dedA,908.647
truA,1431.07
usg,1004.01
pdxB,698.476
flk,973.324
fabB,3346.38
yfcL,638.313
yfcM,713.206
yfcA,1397.74
mepA,763.952
aroC,1981.61
yfcB,2093.46
yfcN,974.491
yfcP,217.729
yfcS,469.835
yfcU,194.313
sixA,1404.76
yfcX,800.193
yfcY,728.375
yfcZ,514.956
fadL,287.374
vacJ,1484.24
yfdC,636.206
intS,214.004
yfdG,695.078
yfdH,1588
yfdI,302.59
tfaS,630.641
yfdK,208.55
yfdL,21.3271
yfdM,346.81
yfdN,91.3855
yfdO,259.031
yfdP,95.9802
yfdQ,81.0705
yfdR,1029.89
yfdS,57.4906
yfdT,258.777
dsdC,90.2865
dsdX,129.107
dsdA,442.215
emrY,62.7027
emrK,46.8445
evgA,1698.53
evgS,146.642
yfdE,69.221
yfdV,113.825
yfdU,134.914
yfdW,194.115
yfdX,464.327
ypdI,72.4836
yfdY,619.254
ddg,177.732
yfdZ,1154.14
ypdA,350.833
ypdB,446.504
ypdC,443.64
ypdD,148.148
ypdE,1226.43
ypdF,282.98
ypdG,199.057
ypdH,98.349
glk,750.675
yfeO,227.572
ypeC,184.256
mntH,393.483
nupC,1272.36
yi81_3,N.D.
yfeA,312.279
yfeC,446.964
yfeD,389.758
gltX,1949.08
xapR,253.467
xapB,63.6225
xapA,285.301
yfeN,425.247
yfeR,143.611
yfeH,610.959
ligA,1071.24
zipA,735.403
cysZ,309.283
cysK,7411.62
ptsH,6410.67
ptsI,5888.82
crr,4626.22
pdxK,743.182
yfeK,223.891
yfeS,277.687
cysM,1265.63
cysA,1352.83
cysW,1395.92
cysU,1602.42
cysP,2539.57
ucpA,778.676
yfeT,1116.17
yfeU,484.757
yfeV,598.799
yfeW,978.891
yfeX,587.947
yfeY,807.345
yfeZ,725.914
ypeA,775.408
amiA,912.369
hemF,374.612
yfeG,441.617
yffI,644.933
eutL,330.446
eutC,481.604
eutB,1098.59
intZ,425.515
yffO,374.079
eutA,271.142
eutH,787.958
eutG,301.779
eutJ,802.696
eutE,263.902
cchB,258.972
cchA,558.858
eutI,304.069
eutT,330.561
eutQ,509.394
eutP,100.673
ypfE,50.8025
maeB,1404.59
talA,3077.82
tktB,1871.79
ypfG,163.303
yffH,465.818
aegA,654.291
narQ,217.417
acrD,1913.31
yffB,926.097
dapE,463.015
ypfH,339.436
ypfI,415.876
purC,2937.22
nlpB,1765.49
dapA,3491.62
gcvR,2887.04
bcp,4269.47
hyfA,2689.04
hyfB,455.638
hyfC,274.587
hyfD,483.932
hyfE,245.593
hyfF,341.056
hyfG,529.046
hyfH,191.62
hyfI,174.157
hyfJ,483.657
hyfR,423.77
focB,273.951
perM,738.723
yfgD,814.781
hda,1146.17
uraA,1475.59
upp,3593.97
purM,2436.96
purN,2225.84
ppk,1681.69
ppx,767.328
yfgF,56.808
yfgG,1133.63
yfgH,58.2789
yfgI,195.21
guaA,2079.49
guaB,3440.48
xseA,759.029
yfgJ,283.354
yfgK,780.6
yfgL,1361.78
yfgM,1805.16
hisS,1900.11
ispG,1227.93
yfgA,1601.89
yfgB,716.93
ndk,3488.09
pbpC,381.379
yfhM,864.323
sseA,1113.92
sseB,975.982
pepB,1261
yfhJ,1938.47
fdx,1455.53
hscA,2037.41
hscB,1664.34
iscA,4066.05
iscU,3708.01
iscS,3259.54
iscR,2479.67
yfhQ,1342.17
suhB,562.669
yfhR,233.008
csiE,133.629
hcaT,446.408
hcaR,392.623
hcaE,279.213
hcaF,219.159
hcaC,624.964
hcaB,605.724
hcaD,372.151
yphA,725.537
yphB,737.754
yphC,156.938
yphD,121.605
yphE,77.6238
yphF,155.178
yphG,1695.04
yphH,430.291
glyA,4306.74
hmpA,529.946
glnB,1142.26
yfhA,905.14
yfhG,1320.81
yfhK,602.537
purL,1403.34
yfhD,94.0726
tadA,757.552
yfhB,491.11
yfhH,344.511
yfhL,1550.1
acpS,1202.44
pdxJ,1271
recO,392.3
era,693.47
rnc,1539.59
lepB,759.968
lepA,1247.13
rseC,639.125
rseB,966.781
rseA,2229.72
rpoE,1848.7
nadB,905.791
yfiC,866.974
srmB,793.77
yfiE,212.11
yfiK,751.896
yfiD,1302.09
ung,804.201
yfiF,782.309
trxC,594.915
yfiP,209.692
yfiQ,609.46
pssA,1354.62
yfiM,318.841
kgtP,3867.74
clpB,976.543
yfiH,633.168
rluD,1316.13
yfiO,2174.14
yfiA,3271.67
pheL,205.442
pheA,2277.59
tyrA,1088.55
aroF,2697.81
yfiL,184.195
yfiR,542.947
yfiN,523.092
yfiB,489.269
rplS,3493.3
trmD,6587.85
rimM,6614.3
rpsP,4837.83
ffh,1363.21
yfjD,N.D.
grpE,1626.83
yfjB,489.187
recN,399.449
smpA,1020.14
yfjF,640.513
yfjG,698.138
smpB,1700.13
intA,525.802
yfjH,47.1846
alpA,38.4091
yfjI,127.804
yfjJ,68.2197
yfjK,222.659
yfjL,327.95
yfjM,112.637
yfjN,1306.16
yfjO,504.683
yfjP,209.273
yfjQ,372.638
yfjR,1787.47
ypjK,N.D.
yfjS,70.8834
yfjT,121.555
yfjU,756.679
yfjW,111.483
yfjX,453.722
yfjY,268.493
yfjZ,40.4867
ypjF,99.762
ypjA,314.616
ygaR,N.D.
ygaF,659.148
gabD,1126.57
gabT,751.512
gabP,402.435
ygaE,3008.89
ygaU,1615.16
yqaE,819.07
ygaP,240.145
stpA,3031.59
ygaC,632.842
ygaM,3334.49
nrdH,810.531
nrdI,418.353
nrdE,343.346
nrdF,180.042
proV,785.46
proW,732.111
proX,747.346
ygaZ,888.198
ygaH,1682.79
emrR,2782.37
emrA,856.861
emrB,163.174
ygaG,2716.7
gshA,2799.68
yqaA,1320.18
yqaB,723.455
csrA,2312.7
alaS,3536.83
oraA,111.491
recA,1707.32
ygaD,724.806
mltB,775.609
srlA,533.872
srlE,417.948
srlB,140.091
srlD,340.955
gutM,246.484
srlR,531.298
gutQ,1413.19
ygaA,336.044
norV,470.64
ygbD,849.144
hypF,316.603
hydN,102.439
ascG,1212.5
ascF,701.42
ascB,164.66
hycI,1490.63
hycH,475.018
hycG,241.298
hycF,158.948
hycE,93.0936
hycD,787.776
hycC,113.737
hycB,201.153
hycA,16.7549
hypA,388.916
hypB,1115.1
hypC,406.622
hypD,345.79
hypE,626.321
fhlA,486.24
ygbA,176.365
mutS,986.805
pphB,104.099
ygbI,1245.85
ygbJ,101.559
ygbK,49.072
ygbL,288.188
ygbM,138.004
ygbN,276.402
rpoS,3790.06
nlpD,6321.2
pcm,1404.22
surE,1097.63
ygbO,1565.04
ispF,1479.67
ispD,926.763
ygbQ,1222.63
ygbE,785.297
cysC,1914.44
cysN,2896.78
cysD,4790.84
iap,312.069
ygbF,280.311
ygbT,325.548
ygcH,597.303
ygcI,180.173
ygcJ,58.2224
ygcK,99.9901
ygcL,116.965
ygcB,53.4953
cysH,2581.7
cysI,2907.87
cysJ,3093.5
ygcM,383.208
ygcN,66.0601
ygcO,147.145
ygcP,N.D.
ygcQ,402.508
ygcR,514.87
ygcS,84.627
ygcW,725.481
yqcE,289.282
ygcE,144.081
ygcF,743.353
ygcG,24.5796
eno,5812.95
pyrG,2868.25
mazG,1298.63
chpA,1061.68
chpR,1305.79
relA,921.064
rumA,1093.51
barA,362.569
gudD,414.878
gudX,716.012
gudP,465.211
yqcA,750.28
yqcB,566.499
yqcC,991.806
syd,708.052
yqcD,678.514
ygdH,768.583
sdaC,427.016
sdaB,1289.17
exo,238.563
fucO,151.063
fucA,38.7793
fucP,91.6682
fucI,386.404
fucK,1228.6
fucU,1386.34
fucR,318.089
ygdE,778.619
ygdD,744.479
gcvA,323.435
ygdI,360.754
csdA,1279.12
ygdK,657.586
ygdL,1490.89
mltA,885.606
amiC,481.782
argA,1677.27
recD,425.989
recB,639.254
ptr,893.046
recC,308.616
ppdC,445.073
ygdB,97.899
ppdB,668.477
ppdA,206.708
thyA,1552.6
lgt,1305.89
ptsP,1416.76
ygdP,2261.3
mutH,238.894
ygdQ,95.1769
ygdR,312.438
tas,1129.49
ygeD,313.554
aas,1057.38
galR,590.531
lysA,703.847
lysR,134.039
ygeA,872.189
araE,235.225
kduD,629.398
kduI,190.787
yqeF,281.937
yqeG,38.5806
yqeH,70.9335
yqeI,65.0016
yqeJ,72.9797
yqeK,17.2296
ygeF,9.69246
ygeG,18.2031
ygeH,43.3051
ygeI,25.4012
ygeK,N.D.
yi22_4,943.106
yi21_4,N.D.
ygeP,48.6192
ygeQ,177.975
ygeR,791.298
xdhA,140.408
xdhB,178.178
xdhC,236.073
ygeV,272.481
ygeW,91.5462
ygeX,475.007
ygeY,528.089
ygeZ,260.415
yqeA,N.D.
yqeB,471.46
yqeC,203.519
ygfJ,111.456
ygfK,338.92
ssnA,129.862
ygfM,237.219
xdhD,111.991
ygfO,128.88
guaD,80.4166
ygfQ,N.D.
ygfS,1078.97
ygfT,157.032
ygfU,92.9077
idi,294.859
lysS,1532.47
prfB,3150.85
recJ,651.432
dsbC,1211.28
xerD,1360.28
fldB,988.105
ygfX,908.448
ygfY,1642.71
ygfZ,1899.94
yqfA,924.42
yqfB,1010.32
bglA,963.539
ygfF,429.207
gcvP,862.219
gcvH,3813.93
gcvT,1613.13
visC,582.332
ubiH,704.811
pepP,1332.7
ygfB,2495.53
ygfE,1669.3
ygfA,423.401
serA,5767.91
rpiA,2092.32
yqfE,720.339
iciA,388.711
sbm,223.093
argK,183.176
ygfG,584.875
ygfH,136.563
ygfI,111.844
yggE,1494.29
yggA,361.386
yggB,2384.79
fbaA,2834.83
pgk,3682.9
epd,2330.48
yggC,254.155
yggD,518.066
yggF,234.579
yggP,N.D.
cmtA,103.088
cmtB,32.7974
tktA,2377.75
yggG,729.879
speB,2007.23
speA,1393.69
yqgB,1224.25
yqgC,298.398
yqgD,29.8508
metK,2969.78
galP,406.172
sprT,247.473
endA,199.99
yggJ,1121.79
gshB,1136.36
yqgE,1113.28
yqgF,771.872
yggR,367.28
yggS,1245.84
yggT,1330.62
yggU,1387.88
yggV,1530.95
yggW,354.552
yggM,216.775
ansB,121.719
yggN,1134.62
yggL,2094.94
yggH,2163.66
mutY,792.216
yggX,1547.19
mltC,812.179
nupG,170.077
speC,466.337
yqgA,531.176
yghD,310.655
yghE,624.041
yghF,197.602
yghG,195.448
pppA,593.819
yghJ,N.D.
yghK,349.588
glcB,453.47
glcG,2290.55
glcF,N.D.
glcE,N.D.
glcD,362.435
glcC,793.639
yghO,306.662
trs5_9,N.D.
yghQ,640.04
yghR,285.258
yghS,84.0896
yghT,310.958
pitB,242.508
gss,959.674
yghU,1718.18
hybG,359.041
hybF,195.129
hybE,289.449
hybD,1363.83
hybC,164.426
hybB,73.098
hybA,415.354
hybO,236.152
yghW,38.0179
yghZ,425.93
yqhA,839.813
yghA,1367.97
exbD,1708.15
exbB,1764.29
metC,1062.98
yghB,1769.37
yqhC,1884.64
yqhD,766.14
dkgA,1126.43
yqhG,80.0333
yqhH,164.721
ygiQ,N.D.
sufI,834.838
plsC,796.944
parC,1139.11
ygiS,226.429
ygiT,279.853
ygiU,409.733
ygiW,1294.36
ygiX,440.598
ygiY,579.896
ygiZ,178.718
mdaB,1237.31
ygiN,1198.74
parE,492.522
yqiA,596.87
cpdA,1174.88
yqiB,1190.46
yqiE,905.952
tolC,1589.47
ygiA,447.774
ygiB,1645.18
ygiC,1046.61
ygiD,74.6063
ygiE,727.267
ribB,738.242
yqiC,1460.2
ygiL,125.555
yi21_5,2626.66
yi22_5,N.D.
yqiG,72.0535
yqiH,55.9839
yqiI,90.6404
glgS,1466.62
yqiJ,124.132
yqiK,153.355
rfaE,657.857
glnE,1749.41
ygiF,1434.36
ygiM,796.074
cca,862.899
bacA,466.76
ygiG,996.898
ygiH,309.131
ygiP,244.587
ttdA,238.523
ttdB,196.796
ygjE,929.725
ygjD,1818.35
rpsU,4774.01
dnaG,1436.82
rpoD,1341.45
ygjF,801.677
yqjH,624.959
yqjI,541.55
aer,533.835
ygjG,850.815
ygjH,471.779
ebgR,966.398
ebgA,310.248
ebgC,108.939
ygjI,384.066
ygjJ,247.869
ygjK,1089.01
fadH,313.499
ygjM,640.241
ygjN,150.404
ygjO,269.747
ygjP,337.196
ygjQ,163.198
ygjR,486.83
ygjT,227.224
ygjU,502.104
ygjV,68.9388
uxaA,479.179
uxaC,965.126
exuT,465.176
exuR,1042.31
yqjA,942.591
yqjB,380.133
yqjC,3302.02
yqjD,3401.4
yqjE,2072.34
yqjK,1225.9
yqjF,140.517
yqjG,376.356
yhaH,734.658
yhaI,121.389
yhaJ,477.077
yhaK,84.1883
yhaL,634.115
yhaM,N.D.
yhaO,459.807
tdcG,N.D.
tdcF,172.318
tdcE,912.465
tdcD,93.8183
tdcC,210.977
tdcB,75.3877
tdcA,346.629
tdcR,7.84732
yhaB,288.034
yhaC,54.6421
garK,391.946
garR,592.5
garL,374.378
garP,746.814
garD,334.033
sohA,1305.23
yhaV,666.789
agaR,1192.15
agaZ,398.206
agaV,523.675
agaW,323.628
agaA,126.568
agaS,584.15
agaY,1664.93
agaB,304.036
agaC,1003.76
agaD,369.209
agaI,132.54
yraH,123.731
yraI,192.941
yraJ,44.3829
yraK,62.8552
yraL,838.076
yraM,941.336
yraN,818.745
yraO,1045.11
yraP,984.688
yraQ,521.084
yraR,573.68
yhbO,720.798
yhbP,334.053
yhbQ,2042.11
yhbS,648.106
yhbT,1059.55
yhbU,448.331
yhbV,296.726
yhbW,1071.08
mtr,396.485
deaD,1131.21
nlpI,2713.72
pnp,3462.45
rpsO,3439.15
truB,1462.74
rbfA,1281.06
infB,2330.66
nusA,3505.27
yhbC,2567.25
argG,1641.62
yhbX,230.912
secG,2320.82
glmM,1426.36
folP,1125.7
hflB,2147.12
rrmJ,1915.98
yhbY,1591.96
greA,835.23
dacB,193.208
yhbZ,955.702
yhbE,1157.45
rpmA,3177.37
rplU,7626.31
ispB,1281.11
nlp,108.714
murA,1061.23
yrbA,1566.92
yrbB,1686.91
yrbC,1643.87
yrbD,1456.31
yrbE,952.39
yrbF,964.797
yrbG,1395.5
yrbH,1293.76
yrbI,1906.04
yrbK,1677.32
yhbN,1709.27
yhbG,1475.32
rpoN,3481.46
yhbH,3938.24
ptsN,2317.2
yhbJ,1429.24
ptsO,848.035
yrbL,1632.3
mtgA,479.566
yhbL,602.85
arcB,803.226
yhcC,411.712
gltB,5647.65
gltD,4575.97
gltF,269.272
yhcA,97.9086
yhcD,276.046
yhcE,205.946
trs5_10,N.D.
yhcF,212.065
yhcG,96.0754
yhcH,248.091
nanK,227.421
nanE,512.672
nanT,454.671
nanA,241.868
nanR,629.324
dcuD,354.956
sspB,1147.64
sspA,2577.24
rpsI,5450.1
rplM,7786.2
yhcM,1060.23
yhcB,1550.28
degQ,828.053
degS,988.457
mdh,5608.73
argR,1189.59
yhcN,204.416
yhcO,396.236
yhcP,67.6322
yhcQ,283.403
yhcR,513.38
yhcS,259.109
tldD,1096.16
yhdP,N.D.
rng,734.651
yhdE,1085.51
mreD,813.768
mreC,784.814
mreB,2016.09
yhdA,298.696
yhdH,673.068
accB,3382.2
accC,1560.63
yhdT,405.035
panF,323.168
prmA,550.112
yhdG,2519.03
fis,3265.88
yhdJ,91.7487
yhdU,154.112
envR,89.1907
acrE,2374.81
acrF,229.591
yhdV,421.179
yhdW,394.661
yhdX,99.8599
yhdY,153.612
yhdZ,179.294
yrdA,1415.81
yrdB,475.985
aroE,1191.98
yrdC,1090.82
yrdD,1369.08
smg,2647.9
smf,N.D.
def,2218.41
fmt,1284.17
rrmB,921.335
trkA,396.388
mscL,2910.32
zntR,723.783
yhdN,688.577
rplQ,5242.44
rpoA,6189.34
rpsD,5658.6
rpsK,6429.02
rpsM,6566.13
rpmJ,7614.62
prlA,N.D.
rplO,6769.21
rpmD,5296.72
rpsE,6115.55
rplR,6239.47
rplF,6724.6
rpsH,7449.97
rpsN,7126.25
rplE,8258.35
rplX,6840.78
rplN,7746.79
rpsQ,5950.24
rpmC,4819.12
rplP,6308.99
rpsC,7372.8
rplV,8211.27
rpsS,8944.25
rplB,7357.11
rplW,7826.69
rplD,7745.92
rplC,7478.26
rpsJ,7128.73
pioO,304.393
gspA,283.449
gspC,191.683
gspD,51.6619
gspE,819.407
gspF,449.261
gspG,48.5302
gspH,550.41
gspI,229.048
gspJ,74.8947
gspK,90.4495
gspL,62.9736
gspM,108.67
gspO,148.888
bfr,1776.93
bfd,728.06
chiA,184.37
tufA,9134.66
fusA,7055.95
rpsG,6044.9
